Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL GBP,Return %,Commission GBP,Favorable excursion GBP,Favorable excursion %,Adverse excursion GBP,Adverse excursion %,Cumulative PnL GBP,Cumulative PnL %,Duration (bars)
1,Exit long,05/01/2026 12:00,Exit Long 15M,191.43,1,190.21,0.91,0.64,0,0.91,0.64,-0.16,-0.11,0.91,0.09,11
1,Entry long,05/01/2026 09:15,Long 15M,190.21,1,190.21,0.91,0.64,0,0.91,0.64,-0.16,-0.11,0.91,0.09,11
2,Exit short,05/01/2026 19:00,Exit Short 15M,186.69,1,190.23,2.63,1.86,0,2.63,1.86,-0.49,-0.35,3.54,0.35,17
2,Entry short,05/01/2026 14:45,Short 15M,190.23,1,190.23,2.63,1.86,0,2.63,1.86,-0.49,-0.35,3.54,0.35,17
3,Exit short,06/01/2026 09:00,Exit Short 15M,189.05,1,187.79,-0.93,-0.67,0,0.41,0.3,-0.93,-0.67,2.61,0.26,9
3,Entry short,05/01/2026 22:45,Short 15M,187.79,1,187.79,-0.93,-0.67,0,0.41,0.3,-0.93,-0.67,2.61,0.26,9
4,Exit long,06/01/2026 14:15,Exit Long 15M,190.43,1,189.05,1.02,0.73,0,1.02,0.73,-0.05,-0.04,3.63,0.36,18
4,Entry long,06/01/2026 09:45,Long 15M,189.05,1,189.05,1.02,0.73,0,1.02,0.73,-0.05,-0.04,3.63,0.36,18
5,Exit short,06/01/2026 22:30,Exit Short 15M,187.8,1,189.11,0.97,0.69,0,1.68,1.21,-0.67,-0.48,4.6,0.46,26
5,Entry short,06/01/2026 16:00,Short 15M,189.11,1,189.11,0.97,0.69,0,1.68,1.21,-0.67,-0.48,4.6,0.46,26
6,Exit short,07/01/2026 11:45,Exit Short 15M,187.95,1,187.59,-0.27,-0.19,0,0.54,0.39,-0.27,-0.19,4.33,0.43,10
6,Entry short,07/01/2026 09:15,Short 15M,187.59,1,187.59,-0.27,-0.19,0,0.54,0.39,-0.27,-0.19,4.33,0.43,10
7,Exit short,07/01/2026 22:15,Exit Short 15M,189.19,1,188.88,-0.23,-0.16,0,0.1,0.07,-0.29,-0.21,4.1,0.41,8
7,Entry short,07/01/2026 20:15,Short 15M,188.88,1,188.88,-0.23,-0.16,0,0.1,0.07,-0.29,-0.21,4.1,0.41,8
8,Exit long,08/01/2026 09:15,Exit Long 15M,189.51,1,189.76,-0.19,-0.13,0,0.33,0.24,-0.25,-0.17,3.91,0.39,1
8,Entry long,08/01/2026 09:00,Long 15M,189.76,1,189.76,-0.19,-0.13,0,0.33,0.24,-0.25,-0.17,3.91,0.39,1
9,Exit short,08/01/2026 14:45,Exit Short 15M,186.67,1,189.12,1.82,1.3,0,1.82,1.3,-0.32,-0.23,5.73,0.57,1
9,Entry short,08/01/2026 14:30,Short 15M,189.12,1,189.12,1.82,1.3,0,1.82,1.3,-0.32,-0.23,5.73,0.57,1
10,Exit short,08/01/2026 19:45,Exit Short 15M,184.91,1,184.25,-0.49,-0.36,0,0.4,0.29,-0.49,-0.36,5.24,0.52,9
10,Entry short,08/01/2026 17:30,Short 15M,184.25,1,184.25,-0.49,-0.36,0,0.4,0.29,-0.49,-0.36,5.24,0.52,9
11,Exit short,09/01/2026 13:30,Exit Short 15M,186.14,1,185.57,-0.42,-0.31,0,0.12,0.09,-0.42,-0.31,4.82,0.48,5
11,Entry short,09/01/2026 12:15,Short 15M,185.57,1,185.57,-0.42,-0.31,0,0.12,0.09,-0.42,-0.31,4.82,0.48,5
