key,value
ticker,NVDA
stMultiplier,2.0
stPeriod,8
atrSLmult,1.2
atrTPmult,4.0
emaLen,50

metric,value
total_trades,366
win_rate,30.6011
net_profit,72.19165
gross_profit,298.8695
gross_loss,-226.67785
avg_trade,0.19724495
avg_win,2.66847768
avg_loss,-0.89243248
profit_factor,1.31847686
expectancy,0.19724495
largest_win,8.015
largest_loss,-3.66
max_drawdown,26.57135
max_drawdown_pct,158.4158
consecutive_wins,4
consecutive_losses,14
long_trades,194
short_trades,172
equity_curve,"[0.0, -1.2630000000000052, -1.5674999999999955, -0.33749999999997726, -2.2192499999999598, -2.552999999999969, -3.6277499999999634, -5.452499999999958, -4.787499999999909, -5.0979999999998995, -5.468499999999892, -7.261749999999893, -4.896749999999884, -5.595749999999896, -4.235749999999911, -4.445449999999909, -5.096449999999919, -5.555449999999922, -5.795449999999931, -7.103449999999924, -6.013449999999921, -6.821199999999919, -7.2816999999999155, -4.279199999999889, -6.206699999999898, -7.194449999999904, -7.516949999999923, -8.596949999999936, -10.048949999999934, -10.931699999999921, -11.673449999999917, -5.718449999999933, -3.9484499999999514, -5.719949999999955, -6.716699999999946, -3.5866999999999223, -4.599199999999911, -5.408449999999931, -5.805949999999939, -6.345949999999931, -6.768949999999933, -6.936199999999928, -5.201199999999915, -5.7539499999998895, -6.0320499999998844, -6.2238999999998725, -6.746649999999875, -7.390149999999863, -7.849899999999877, -8.27289999999988, -8.47239999999988, -5.487399999999894, -6.319899999999876, -4.894899999999865, -2.0748999999998716, -2.596899999999863, -0.9693999999998653, 1.3331000000001438, 0.965600000000137, 0.7083500000001379, 1.5328500000001384, 5.152850000000171, 4.464350000000167, 4.032350000000179, 3.4400000000001683, 3.350000000000165, 3.0005000000001587, 2.6180000000001655, 2.148500000000155, 0.9897500000001571, -0.34149999999985425, -0.9557499999998527, -1.1670999999998344, 1.5279000000001588, 1.100550000000169, 3.6205500000001507, 4.653050000000178, 3.504050000000177, 3.0600500000001603, 5.332550000000168, 4.9127000000001715, 4.101200000000176, 3.126200000000182, 3.965700000000197, 3.6169500000002017, 2.9937000000001888, 2.4327000000001817, 1.5972000000001856, 1.2013500000001613, 0.7596000000001766, 2.7421000000001925, 2.5216000000002055, 1.6951000000002239, 1.0207000000002324, 0.8207000000002154, -0.029799999999767124, -1.1082999999997583, -1.0682999999997662, -1.6607999999997674, -2.2307999999997605, -3.115049999999769, -0.4850499999997737, -1.0040499999997792, -2.239299999999787, -0.904299999999779, 2.1232000000002245, 5.258200000000215, 9.678200000000231, 8.401700000000233, 11.611700000000269, 10.899200000000263, 10.552700000000272, 10.07120000000026, 12.756200000000263, 11.937200000000274, 11.658200000000278, 12.78070000000028, 13.505200000000315, 12.909700000000328, 10.980550000000335, 12.895550000000327, 14.61055000000033, 14.289850000000314, 13.119850000000326, 12.485350000000324, 11.913850000000338, 13.508850000000308, 12.892350000000306, 16.19735000000034, 17.381850000000355, 16.091850000000363, 14.573850000000363, 15.198850000000363, 11.538850000000366, 10.315000000000367, 16.99000000000038, 20.030000000000342, 23.160000000000366, 21.031500000000364, 20.05125000000035, 21.360750000000365, 20.88825000000037, 21.14825000000036, 19.76000000000036, 18.627350000000348, 18.233000000000345, 20.223000000000326, 19.72800000000032, 18.881250000000307, 18.468900000000303, 17.906400000000303, 17.003400000000312, 16.11840000000032, 18.748400000000316, 18.28790000000032, 20.895900000000324, 22.31590000000034, 20.26525000000035, 19.443250000000347, 19.062250000000347, 18.375250000000364, 19.425250000000347, 22.455250000000348, 25.103250000000344, 23.351250000000334, 21.147750000000343, 20.36700000000033, 20.017500000000325, 19.767500000000325, 19.30100000000033, 18.443000000000325, 17.78375000000034, 16.693250000000347, 16.54790000000034, 19.470400000000325, 19.11040000000031, 18.520900000000296, 17.96740000000031, 20.202400000000267, 19.75390000000027, 19.17340000000027, 23.09090000000026, 22.620650000000268, 22.389650000000273, 21.29915000000028, 21.020150000000285, 20.711150000000288, 20.294150000000286, 20.64415000000028, 22.204150000000283, 24.76365000000027, 24.162150000000253, 23.818650000000247, 24.768650000000264, 27.881150000000275, 27.25565000000026, 30.48565000000025, 31.77565000000024, 30.95515000000026, 29.342650000000276, 28.95190000000028, 28.42465000000027, 30.284650000000227, 29.203900000000232, 28.90915000000024, 27.97765000000024, 28.9576500000002, 28.56990000000019, 27.402900000000187, 34.81790000000021, 39.195400000000205, 38.064400000000205, 39.479400000000226, 38.910900000000225, 42.97590000000025, 45.25590000000025, 44.61990000000026, 43.715400000000244, 42.69390000000024, 41.76915000000025, 40.99590000000026, 43.305900000000236, 42.46455000000023, 46.49205000000023, 45.53355000000025, 44.34495000000024, 43.36845000000022, 46.04845000000023, 44.27845000000022, 43.95010000000022, 42.96175000000022, 42.552250000000214, 41.7812500000002, 40.76650000000021, 39.8665000000002, 46.654000000000195, 49.84400000000019, 48.77450000000019, 47.031500000000165, 44.98250000000016, 47.692500000000166, 45.712500000000176, 43.14750000000018, 41.87250000000017, 40.77000000000018, 39.712500000000176, 38.838000000000164, 37.71450000000016, 34.54500000000016, 32.90700000000015, 31.410000000000167, 28.95675000000017, 27.66225000000017, 26.502750000000162, 25.410750000000178, 28.958250000000163, 28.25250000000017, 27.922650000000175, 26.985900000000186, 28.935900000000174, 26.616900000000186, 24.718650000000196, 23.272650000000198, 28.272650000000198, 27.381650000000207, 25.067900000000208, 24.291650000000203, 29.55415000000019, 32.03165000000021, 31.136900000000225, 30.163400000000223, 38.178400000000266, 41.368400000000264, 40.04240000000027, 41.80690000000027, 40.54690000000025, 42.84140000000022, 41.98490000000021, 45.1849000000002, 44.6315500000002, 46.78405000000021, 48.2315500000002, 51.536550000000176, 52.49905000000015, 51.135550000000165, 50.74105000000017, 49.87105000000017, 48.30880000000016, 47.613550000000146, 54.21105000000017, 52.86930000000018, 51.91005000000018, 51.547800000000194, 50.79930000000019, 49.25880000000018, 48.138800000000174, 46.79930000000019, 49.49180000000021, 49.15730000000019, 51.16230000000019, 54.9273000000002, 53.8818000000002, 53.15130000000019, 54.50630000000018, 53.53730000000019, 52.84730000000019, 58.497300000000166, 58.04730000000015, 59.11730000000014, 64.45980000000017, 63.30330000000018, 66.69330000000016, 66.30705000000017, 64.21155000000016, 67.89905000000016, 67.31120000000016, 71.67870000000016, 70.91520000000017, 69.60270000000017, 70.68270000000015, 71.40270000000018, 73.97770000000017, 73.69570000000016, 73.12420000000014, 80.32420000000013, 78.86695000000014, 78.03295000000014, 76.93870000000015, 75.75895000000017, 75.24160000000018, 73.6916000000002, 72.6528500000002, 73.66785000000019, 73.26885000000019, 71.2753500000002, 70.82535000000018, 69.62985000000018, 68.35635000000016, 67.64535000000015, 66.99525000000014, 65.12325000000016, 69.09325000000015, 67.53175000000016, 65.62150000000017, 67.40150000000017, 66.19400000000016, 64.15400000000017, 66.21900000000014, 65.44650000000013, 69.68650000000011, 69.0970000000001, 68.08675000000008, 71.4667500000001, 75.89925000000008, 75.14190000000008, 74.32590000000008, 73.46590000000009, 72.84590000000011, 71.82815000000011, 71.45765000000011, 70.95665000000011, 70.50065000000009, 73.69315000000009, 72.70915000000008, 73.50415000000007, 73.07815000000008, 72.1916500000001]"
